matchId,season,date,round,phase,home,away,venue,vbucket,predMargin,absPred,closeBand,weTipped,actualMargin,absActual,draw,miss,class,fieldN,fieldShareCorrect,fieldHomeShare,fieldFav,weAgainstField,ourProbWinner,fieldProbWinner,restHome,restAway,restDiff,postByeHome,postByeAway,weather,wet,gameid
1984,2025,2025-07-12,Round 18,late,Richmond,Essendon,MCG,shared_derby,-5.24,5.24,<6,away,9,9,False,True,consensus,23,0.043,0.043,away,False,0.423,0.374,7,7,0,False,False,MOSTLY_SUNNY,False,37239
1985,2025,2025-07-12,Round 18,late,Fremantle,Hawthorn,Perth Stadium,true_home_interstate,-4.03,4.03,<6,away,13,13,False,True,tipper_specific,23,0.696,0.696,home,True,0.44,0.523,6,7,-1,False,False,RAIN,True,37242
1993,2025,2025-07-19,Round 19,late,Carlton,Melbourne,MCG,shared_derby,-4.94,4.94,<6,away,8,8,False,True,consensus,23,0.174,0.174,away,False,0.427,0.418,9,6,3,False,False,MOSTLY_SUNNY,False,37245
1994,2025,2025-07-19,Round 19,late,West Coast,Richmond,Perth Stadium,true_home_interstate,2.95,2.95,<6,home,-49,49,False,True,consensus,23,0.087,0.913,home,False,0.455,0.43,6,7,-1,False,False,MOSTLY_SUNNY,False,37251
1996,2025,2025-07-20,Round 19,late,Collingwood,Fremantle,MCG,shared_interstate,8.58,8.58,6-12,home,-1,1,False,True,consensus,23,0.043,0.957,home,False,0.379,0.314,9,8,1,False,False,MOSTLY_SUNNY,False,37246
2001,2025,2025-07-26,Round 20,late,Gold Coast,Brisbane Lions,Carrara,true_home_same_state,-10.93,10.93,6-12,away,66,66,False,True,consensus,23,0.0,0.0,away,False,0.35,0.406,6,8,-2,False,False,RAIN,True,37258
2006,2025,2025-07-27,Round 20,late,St Kilda,Melbourne,Marvel Stadium,shared_derby,-0.17,0.17,<6,away,6,6,False,True,consensus,23,0.087,0.087,away,False,0.497,0.454,7,8,-1,False,False,RAIN,True,37254
2012,2025,2025-08-02,Round 21,late,Collingwood,Brisbane Lions,MCG,shared_interstate,8.9,8.9,6-12,home,-27,27,False,True,consensus,23,0.0,1.0,home,False,0.375,0.345,6,7,-1,False,False,OVERCAST,False,37265
2019,2025,2025-08-09,Round 22,late,Brisbane Lions,Sydney,Gabba,true_home_interstate,13.25,13.25,12-24,home,-2,2,False,True,consensus,23,0.0,1.0,home,False,0.322,0.277,7,7,0,False,False,RAIN,True,37276
2026,2025,2025-08-15,Round 23,late,Fremantle,Brisbane Lions,Perth Stadium,true_home_interstate,4.35,4.35,<6,home,-57,57,False,True,consensus,23,0.174,0.826,home,False,0.435,0.453,6,6,0,False,False,MOSTLY_SUNNY,False,37287
2027,2025,2025-08-16,Round 23,late,Gold Coast,GWS Giants,Carrara,true_home_interstate,11.26,11.26,6-12,home,-35,35,False,True,consensus,23,0.0,1.0,home,False,0.346,0.32,7,6,1,False,False,SUNNY,False,37284
2036,2025,2025-08-22,Round 24,late,Port Adelaide,Gold Coast,Adelaide Oval,true_home_interstate,-15.68,15.68,12-24,away,4,4,False,True,consensus,23,0.0,0.0,away,False,0.296,0.286,6,6,0,False,False,MOSTLY_SUNNY,False,37295
2041,2025,2025-08-24,Round 24,late,Western Bulldogs,Fremantle,Marvel Stadium,shared_interstate,9.29,9.29,6-12,home,-15,15,False,True,consensus,23,0.0,1.0,home,False,0.37,0.229,7,9,-2,False,False,MOSTLY_SUNNY,False,37290
2044,2025,2025-09-04,Finals Week 1,finals,Adelaide,Collingwood,Adelaide Oval,true_home_interstate,8.74,8.74,6-12,home,-24,24,False,True,consensus,23,0.043,0.957,home,False,0.377,0.38,12,13,-1,True,True,RAIN,True,37317
2046,2025,2025-09-06,Finals Week 1,finals,GWS Giants,Hawthorn,Sydney Showground,true_home_interstate,1.62,1.62,<6,home,-19,19,False,True,consensus,23,0.304,0.652,home,False,0.475,0.479,13,13,0,True,True,MOSTLY_SUNNY,False,37315
2047,2025,2025-09-06,Finals Week 1,finals,Fremantle,Gold Coast,Perth Stadium,true_home_interstate,7.03,7.03,6-12,home,-1,1,False,True,grey,23,0.391,0.609,home,False,0.399,0.486,13,10,3,True,False,RAIN,True,37316
2048,2025,2025-09-12,Semi Finals,finals,Adelaide,Hawthorn,Adelaide Oval,true_home_interstate,0.57,0.57,<6,home,-34,34,False,True,consensus,23,0.087,0.913,home,False,0.491,0.448,8,6,2,False,False,MOSTLY_SUNNY,False,37319
2051,2025,2025-09-20,Preliminary Finals,finals,Collingwood,Brisbane Lions,MCG,shared_interstate,6.12,6.12,6-12,home,-29,29,False,True,consensus,23,0.304,0.696,home,False,0.411,0.444,16,7,9,True,False,RAIN,True,37863
2052,2025,2025-09-27,Grand Final,finals,Geelong,Brisbane Lions,MCG,shared_interstate,5.93,5.93,<6,home,-47,47,False,True,consensus,23,0.043,0.957,home,False,0.413,0.36,8,7,1,False,False,MOSTLY_SUNNY,False,37323
